16 animations

* Animation 0
40 keyframes
Frame	Duration
0	18
1	1
2	13
2	5
3	1
4	5
4	1
4	1
4	1
4	1
4	3
5	1
6	9
6	1
6	1
6	1
6	2
1	1
2	15
2	3
3	1
4	7
4	1
4	1
4	1
4	1
4	13
4	1
4	1
4	1
4	7
5	1
6	10
6	10
6	1
6	1
6	1
6	1
6	3
0	19

* Animation 1
9 keyframes
Frame	Duration
7	1
8	2
9	1
10	1
11	1
10	1
11	3
12	1
13	1

* Animation 2
3 keyframes
Frame	Duration
14	32
15	10
14	2

* Animation 3
61 keyframes
Frame	Duration
16	2
19	2
18	2
19	2
16	2
19	2
18	2
19	2
16	2
19	2
18	2
19	2
16	2
19	2
21	2
20	2
17	2
20	2
21	1
18	1
16	1
19	2
16	2
19	2
18	2
19	2
16	2
19	2
18	2
19	2
16	2
19	2
18	2
19	2
16	2
19	2
18	1
16	1
19	2
16	2
19	2
18	2
19	2
16	2
19	2
18	2
19	2
16	2
19	2
18	2
19	2
16	2
19	2
21	2
20	2
17	2
20	2
21	1
18	1
16	1
19	2

* Animation 4
9 keyframes
Frame	Duration
22	1
23	2
24	1
25	1
26	1
25	1
26	3
27	1
28	1

* Animation 5
5 keyframes
Frame	Duration
29	4
32	1
33	1
31	1
30	1

* Animation 6
13 keyframes
Frame	Duration
34	13
35	1
34	18
35	10
34	1
35	1
34	14
35	1
34	24
35	10
34	1
35	1
34	25

* Animation 7
105 keyframes
Frame	Duration
36	3
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	22
37	1
38	1
36	3
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	31
37	1
38	1
36	3
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	1
37	1
38	1
36	2
37	1
38	1
39	1
40	45
37	1
38	1

* Animation 8
26 keyframes
Frame	Duration
41	33
42	1
43	1
44	1
45	11
44	1
43	1
42	1
41	58
42	1
43	1
44	1
45	11
44	1
43	1
42	1
41	33
41	58
42	1
43	1
44	1
45	11
44	1
43	1
42	1
41	25

* Animation 9
4 keyframes
Frame	Duration
46	3
47	3
48	3
47	3

* Animation 10
24 keyframes
Frame	Duration
49	1
50	1
49	1
50	1
49	18
50	1
49	1
50	1
49	1
50	1
49	18
51	1
49	1
52	1
49	1
50	1
49	32
50	1
49	1
50	1
49	18
51	1
49	1
52	1

* Animation 11
34 keyframes
Frame	Duration
53	2
54	1
55	1
54	1
56	1
57	1
53	1
58	1
53	1
59	2
60	1
61	1
53	1
57	1
53	1
58	1
62	1
54	1
63	1
54	1
64	1
65	1
53	1
61	1
53	1
57	1
66	1
59	1
67	1
59	1
68	1
69	1
53	1
65	1

* Animation 12
34 keyframes
Frame	Duration
74	1
70	1
74	1
70	1
74	1
72	1
71	1
72	1
71	1
72	1
74	1
70	1
74	1
70	1
74	1
76	1
75	1
76	1
75	1
76	1
74	1
70	1
74	1
70	2
71	1
72	1
71	1
73	1
74	1
70	1
74	1
70	1
75	2
76	1

* Animation 13
9 keyframes
Frame	Duration
77	5
78	6
77	6
78	6
77	29
78	6
77	6
78	6
77	2

* Animation 14
2 keyframes
Frame	Duration
79	3
80	3

* Animation 15
15 keyframes
Frame	Duration
81	6
83	1
82	1
84	1
82	1
84	1
82	1
84	1
82	1
84	1
82	1
84	1
82	1
84	1
82	1

Unused frames
